ADP,Player,Position,Team,My Pos Rank,ESPN Ranking
1,Ja'Marr Chase,WR,,WR1,
2,Bijan Robinson,RB,,RB1,
3,Saquon Barkley,RB,,RB2,
4,Justin Jefferson,WR,,WR2,
5,Jahmyr Gibbs,RB,,RB3,
6,CeeDee Lamb,WR,,WR3,
7,Puka Nacua,WR,,WR4,
8,Christian McCaffrey,RB,,RB4,
9,Malik Nabers,WR,,WR5,
10,Amon-Ra St. Brown,WR,,WR6,
11,De'Von Achane,RB,,RB5,
12,Nico Collins,WR,,WR7,
13,Ashton Jeanty,RB,,RB6,
14,Derrick Henry,RB,,RB7,
15,Brian Thomas,WR,,WR8,
16,Drake London,WR,,WR9,
17,A.J. Brown,WR,,WR10,
18,Josh Jacobs,RB,,RB8,
19,Jonathan Taylor,RB,,RB9,
20,Bucky Irving,RB,,RB10,
21,Chase Brown,RB,,RB11,
22,Ladd McConkey,WR,,WR11,
23,Brock Bowers,TE,,TE1,
24,Trey McBride,TE,,TE2,
25,Josh Allen,QB,,QB1,
26,Lamar Jackson,QB,,QB2,
27,Kyren Williams,RB,,RB12,
28,Tyreek Hill,WR,,WR12,
29,Tee Higgins,WR,,WR13,
30,Jaxon Smith-Njigba,WR,,WR14,
31,Jayden Daniels,QB,,QB3,
32,George Kittle,TE,,TE3,
33,Kenneth Walker III,RB,,RB13,
34,Marvin Harrison,WR,,WR15,
35,Garrett Wilson,WR,,WR16,
36,Mike Evans,WR,,WR17,
37,James Cook,RB,,RB14,
38,Davante Adams,WR,,WR18,
39,Jalen Hurts,QB,,QB4,
40,Alvin Kamara,RB,,RB15,
41,D.J. Moore,WR,,WR19,
42,Joe Burrow,QB,,QB5,
43,Breece Hall,RB,,RB16,
44,Chuba Hubbard,RB,,RB17,
45,Terry McLaurin,WR,,WR20,
46,Omarion Hampton,RB,,RB18,
47,James Conner,RB,,RB19,
48,DK Metcalf,WR,,WR21,
49,DeVonta Smith,WR,,WR22,
50,Rashee Rice,WR,,WR23,
51,David Montgomery,RB,,RB20,
52,Joe Mixon,RB,,RB21,
53,D'Andre Swift,RB,,RB22,
54,Jaylen Waddle,WR,,WR24,
55,Courtland Sutton,WR,,WR25,
56,Jameson Williams,WR,,WR26,
57,TreVeyon Henderson,RB,,RB23,
58,Tetairoa McMillan,WR,,WR27,
59,Xavier Worthy,WR,,WR28,
60,George Pickens,WR,,WR29,
61,Zay Flowers,WR,,WR30,
62,Calvin Ridley,WR,,WR31,
63,RJ Harvey,RB,,RB24,
64,T.J. Hockenson,TE,,TE4,
65,Aaron Jones,RB,,RB25,
66,Chris Olave,WR,,WR32,
67,Rome Odunze,WR,,WR33,
68,Patrick Mahomes,QB,,QB6,
69,Sam LaPorta,TE,,TE5,
70,Tony Pollard,RB,,RB26,
71,Kaleb Johnson,RB,,RB27,
72,Brian Robinson Jr.,RB,,RB28,
73,Travis Hunter,WR,,WR34,
74,Isiah Pacheco,RB,,RB29,
75,Jerry Jeudy,WR,,WR35,
76,Jordan Addison,WR,,WR36,
77,Travis Kelce,TE,,TE6,
78,Kyler Murray,QB,,QB7,
79,Baker Mayfield,QB,,QB8,
80,Jauan Jennings,WR,,WR37,
81,Chris Godwin,WR,,WR38,
82,Jakobi Meyers,WR,,WR39,
83,Deebo Samuel,WR,,WR40,
84,Javonte Williams,RB,,RB30,
85,Mark Andrews,TE,,TE7,
86,Evan Engram,TE,,TE8,
87,Tyrone Tracy,RB,,RB31,
88,Justin Fields,QB,,QB9,
89,Khalil Shakir,WR,,WR41,
90,Stefon Diggs,WR,,WR42,
91,Ricky Pearsall,WR,,WR43,
92,David Njoku,TE,,TE9,
93,Jayden Reed,WR,,WR44,
94,Josh Downs,WR,,WR45,
95,Michael Pittman Jr.,WR,,WR46,
96,Bo Nix,QB,,QB10,
97,Dak Prescott,QB,,QB11,
98,Brock Purdy,QB,,QB12,
99,Justin Herbert,QB,,QB9,
100,Jaylen Warren,RB,,RB32,
101,Jordan Mason,RB,,RB33,
102,Matthew Golden,WR,,WR47,
103,Quinshon Judkins,RB,,RB34,
104,Travis Etienne Jr.,RB,,RB35,
105,Darnell Mooney,WR,,WR48,
106,Brandon Aiyuk,WR,,WR49,
107,Emeka Egbuka,WR,,WR50,
108,Keon Coleman,WR,,WR51,
109,Caleb Williams,QB,,QB14,
110,Zach Charbonnet,RB,,RB36,
111,Cam Skattebo,RB,,RB37,
112,Rashid Shaheed,WR,,WR52,
113,Rhamondre Stevenson,RB,,RB38,
114,Najee Harris,RB,,RB39,
115,Jared Goff,QB,,QB15,
116,Cooper Kupp,WR,,WR53,
117,Tucker Kraft,TE,,TE10,
118,Tyler Warren,TE,,TE11,
119,Dalton Kincaid,TE,,TE12,
120,Jake Ferguson,TE,,TE13,
121,Dallas Goedert,TE,,TE14,
122,Bhayshul Tuten,RB,,RB40,
123,Jordan Love,QB,,QB16,
124,J.K. Dobbins,RB,,RB41,
125,Rachaad White,RB,,RB42,
126,Jayden Higgins,WR,,WR54,
127,Colston Loveland,TE,,TE15,
128,Rashod Bateman,WR,,WR55,
129,Ray Davis,RB,,RB43,
130,Tyler Allgeier,RB,,RB44,
131,Isaac Guerendo,RB,,RB45,
132,Trey Benson,RB,,RB46,
133,Kyle Pitts,TE,,TE16,
134,Romeo Doubs,WR,,,
135,Tre Harris,WR,,WR57,
136,Cedric Tillman,WR,,WR58,
137,Hollywood Brown,WR,,WR59,
138,Jaydon Blue,RB,,RB47,
139,Jonnu Smith,TE,,TE17,
140,Trevor Lawrence,QB,,QB17,
141,Matthew Stafford,QB,,QB18,
142,C.J. Stroud,QB,,QB19,
143,Tua Tagovailoa,QB,,QB20,
144,J.J. McCarthy,QB,,QB21,
145,Luther Burden,WR,,WR60,
146,Quentin Johnston,WR,,WR61,
147,Jaylen Wright,RB,,RB48,
148,Jerome Ford,RB,,RB49,
149,Nick Chubb,RB,,RB50,
150,Dylan Sampson,RB,,RB51,
151,Kyle Williams,WR,,WR62,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,